Australian Bureau of Statistics,,,,,,
"cat.no.1292.0.55.005 Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006 - Correspondence Tables",,,,,,
"Table 6. CORRESPONDENCES, ANZSIC 2006 - ISIC Rev. 4",,,,,,
,,,,,,
ANZSIC 2006,,,ISIC Rev. 4,,,
A,"Agriculture, Forestry and Fishing",,,,,
A,Agriculture,,,,,
A,Nursery and Floriculture Production,,,,,
A,0111,Nursery Production (Under Cover),0129p,Growing of other perennial crops,,
A,,,0130p,Plant propagation,,
A,0112,Nursery Production (Outdoors),0129p,Growing of other perennial crops,,
A,,,0130p,Plant propagation,,
A,0113,Turf Growing,0130p,Plant propagation,,
A,0114,Floriculture Production (Under Cover),0119p,Growing of other non-perennial crops,,
A,,,0129p,Growing of other perennial crops,,
A,0115,Floriculture Production (Outdoors),0119p,Growing of other non-perennial crops,,
A,,,0129p,Growing of other perennial crops,,
A,Mushroom and Vegetable Growing,,,,,
A,0121,Mushroom Growing,0113p,"Growing of vegetables and melons, roots and tubers",,
A,,,0130p,Plant propagation,,
A,0122,Vegetable Growing (Under Cover),0111p,"Growing of cereals (except rice), leguminous crops and oil seeds",,
A,,,0113p,"Growing of vegetables and melons, roots and tubers",,
A,,,0119p,Growing of other non-perennial crops,,
A,,,0128p,"Growing of spices, aromatic, drug and pharmaceutical crops",,
A,,,0129p,Growing of other perennial crops,,
A,0123,Vegetable Growing (Outdoors),0111p,"Growing of cereals (except rice), leguminous crops and oil seeds",,
A,,,0113p,"Growing of vegetables and melons, roots and tubers",,
A,,,0119p,Growing of other non-perennial crops,,
A,,,0128p,"Growing of spices, aromatic, drug and pharmaceutical crops",,
A,,,0129p,Growing of other perennial crops,,
A,Fruit and Tree Nut Growing,,,,,
A,0131,Grape Growing,0121,Growing of grapes,,
A,0132,Kiwifruit Growing,0125p,Growing of other tree and bush fruits and nuts,,
A,0133,Berry Fruit Growing,0125p,Growing of other tree and bush fruits and nuts,,
A,0134,Apple and Pear Growing,0124p,Growing of pome fruits and stone fruits,,
A,0135,Stone Fruit Growing,0124p,Growing of pome fruits and stone fruits,,
A,0136,Citrus Fruit Growing,0123,Growing of citrus fruits,,
A,0137,Olive Growing,0126p,Growing of oleaginous fruits,,
A,0139,Other Fruit and Tree Nut Growing,0122,Growing of tropical and subtropical fruits,,
A,,,0125p,Growing of other tree and bush fruits and nuts,,
A,,,0126p,Growing of oleaginous fruits,,
A,"Sheep, Beef Cattle and Grain Farming",,,,,
A,0141,Sheep Farming (Specialised),0144p,Raising of sheep and goats,,
A,,,0162p,Support activities for animal production,,
A,0142,Beef Cattle Farming (Specialised),0141p,Raising of cattle and buffaloes,,
A,,,0162p,Support activities for animal production,,
A,0143,Beef Cattle Feedlots (Specialised),0141p,Raising of cattle and buffaloes,,
A,0144,Sheep-Beef Cattle Farming,0141p,Raising of cattle and buffaloes,,
A,,,0144p,Raising of sheep and goats,,
A,0145,Grain-Sheep or Grain-Beef Cattle Farming,0150,Mixed farming,,
A,0146,Rice Growing,0112,Growing of rice,,
A,0149,Other Grain Growing,0111p,"Growing of cereals (except rice), leguminous crops and oil seeds",,
A,,,0119p,Growing of other non-perennial crops,,
A,Other Crop Growing,,,,,
A,0151,Sugar Cane Growing,0114,Growing of sugar cane,,
A,0152,Cotton Growing,0116p,Growing of fibre crops,,
A,0159,Other Crop Growing n.e.c.,0111p,"Growing of cereals (except rice), leguminous crops and oil seeds",,
A,,,0115,Growing of tobacco,,
