Titles,AgrForestFish,Mining,Manufacturing,Utilities,Construction,Wholesale,Retail,AccomFoodServ,Transport&Ware,Communications,Finance&Insur,RealEstate,BusinessServ,Admin,PublicAdminSafe,Education,Health&Social,Arts&Rec,OtherServices,Dwelling
AgrForestFish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.702342385241
Mining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8898.184715387195
Manufacturing,5151.882760148844,4790.569022116976,2.056876564893173e-5,23258.535742017488,5.437988306766783e-6,661.9387873565843,1.5188455449788307e-5,3.3489218367321882e-6,0.0006532679715292034,0.00033111523362094886,1.2101027550670551e-5,11981.903579904532,8974.353431594358,646.1051434199121,5530.562302409197,1.1994760484412836e-5,3864.517617884082,3.6319614309832104e-5,1.9177339709131047e-5,21981.249888975562
Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6887.887352707927
Construction,6069.492194296289,44832.650880968766,15867.727994111923,1919.9323976879505,9674.989488592302,5271.971941613674,8392.665438238995,4802.765675514807,41217.149957179136,20765.976550634918,11341.956573277934,7623.074898542734,3877.9954546802846,714.0166154392402,26079.128236495017,11089.879850402622,12630.868998445134,6434.983518563792,2866.5671421217326,22049.16136117916
Wholesale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13276.628776113044
Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3449.8566967219813
AccomFoodServ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.71968484242802
Transport&Ware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5646.276430678031
Communications,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5712.830442369372
Finance&Insur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2954.891259708485
RealEstate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13013.268312470249
BusinessServ,25.61280958392149,681.7248171766519,666.253922826975,1043.503121162363,2.424851572868647e-6,1209.0815578615384,437.3249742541325,395.228751457086,2196.8017040244017,0.0003918914416090047,353.0306849353285,7.46689369179876e-5,1231.6357512437062,590.8762497478926,583.2741416328072,726.1072745722965,91.59526276043584,38.009470324798485,163.42965826090972,21926.020995122428
Admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.38680754847314
PublicAdminSafe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2973.8307887210067
Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526.7954875725509
Health&Social,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.6288208170165
Arts&Rec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.56133647151637
OtherServices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.9675935538794
Dwelling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
